"Y"	"t.j"	"r.i"	"L"	"Env"	"G"	"Rep"	"Group"	"GG"	"Yield"
"95"	"2013"	2013	1980	"Sonagazi"	"2013-Sonagazi"	"BR10"	"1"	"Long"	"Long-BR10"	4.75
"96"	"2013"	2013	1980	"Comilla"	"2013-Comilla"	"BR10"	"1"	"Long"	"Long-BR10"	5.055
"97"	"2013"	2013	1980	"Gazipur"	"2013-Gazipur"	"BR10"	"1"	"Long"	"Long-BR10"	7
"98"	"2013"	2013	1980	"Rajshahi"	"2013-Rajshahi"	"BR10"	"1"	"Long"	"Long-BR10"	5.17
"99"	"2013"	2013	1980	"Rangpur"	"2013-Rangpur"	"BR10"	"1"	"Long"	"Long-BR10"	3.5
"100"	"2013"	2013	1980	"Barisal"	"2013-Barisal"	"BR10"	"1"	"Long"	"Long-BR10"	5.57
"101"	"2014"	2014	1980	"Kustia"	"2014-Kustia"	"BR10"	"1"	"Long"	"Long-BR10"	4.83
"102"	"2014"	2014	1980	"Sonagazi"	"2014-Sonagazi"	"BR10"	"1"	"Long"	"Long-BR10"	3.23
"103"	"2014"	2014	1980	"Comilla"	"2014-Comilla"	"BR10"	"1"	"Long"	"Long-BR10"	4.71
"104"	"2014"	2014	1980	"Gazipur"	"2014-Gazipur"	"BR10"	"1"	"Long"	"Long-BR10"	7
"105"	"2014"	2014	1980	"Rajshahi"	"2014-Rajshahi"	"BR10"	"1"	"Long"	"Long-BR10"	6.822627907
"106"	"2014"	2014	1980	"Rangpur"	"2014-Rangpur"	"BR10"	"1"	"Long"	"Long-BR10"	5.6
"107"	"2014"	2014	1980	"Satkhira"	"2014-Satkhira"	"BR10"	"1"	"Long"	"Long-BR10"	5.23
"108"	"2014"	2014	1980	"Bhanga"	"2014-Bhanga"	"BR10"	"1"	"Long"	"Long-BR10"	3.75
"109"	"2015"	2015	1980	"Kustia"	"2015-Kustia"	"BR10"	"1"	"Long"	"Long-BR10"	6.57
"110"	"2015"	2015	1980	"Sonagazi"	"2015-Sonagazi"	"BR10"	"1"	"Long"	"Long-BR10"	4.00907907
"111"	"2015"	2015	1980	"Comilla"	"2015-Comilla"	"BR10"	"1"	"Long"	"Long-BR10"	5.359364532
"112"	"2015"	2015	1980	"Gazipur"	"2015-Gazipur"	"BR10"	"1"	"Long"	"Long-BR10"	6.643125942
"113"	"2015"	2015	1980	"Rajshahi"	"2015-Rajshahi"	"BR10"	"1"	"Long"	"Long-BR10"	6.408139535
"114"	"2015"	2015	1980	"Rangpur"	"2015-Rangpur"	"BR10"	"1"	"Long"	"Long-BR10"	3.2
"115"	"2015"	2015	1980	"Satkhira"	"2015-Satkhira"	"BR10"	"1"	"Long"	"Long-BR10"	5.079069767
"116"	"2015"	2015	1980	"Bhanga"	"2015-Bhanga"	"BR10"	"1"	"Long"	"Long-BR10"	4.8975
"117"	"2001"	2001	1980	"Barisal"	"2001-Barisal"	"BR10"	"2"	"Long"	"Long-BR10"	3.75
"118"	"2001"	2001	1980	"Comilla"	"2001-Comilla"	"BR10"	"2"	"Long"	"Long-BR10"	4.543255814
"119"	"2001"	2001	1980	"Gazipur"	"2001-Gazipur"	"BR10"	"2"	"Long"	"Long-BR10"	3.994883721
"120"	"2001"	2001	1980	"Rajshahi"	"2001-Rajshahi"	"BR10"	"2"	"Long"	"Long-BR10"	3.77
"121"	"2001"	2001	1980	"Rangpur"	"2001-Rangpur"	"BR10"	"2"	"Long"	"Long-BR10"	3.660377907
"122"	"2001"	2001	1980	"Satkhira"	"2001-Satkhira"	"BR10"	"2"	"Long"	"Long-BR10"	6.920813953
"123"	"2001"	2001	1980	"Sonagazi"	"2001-Sonagazi"	"BR10"	"2"	"Long"	"Long-BR10"	3.994883721
"124"	"2002"	2002	1980	"Barisal"	"2002-Barisal"	"BR10"	"2"	"Long"	"Long-BR10"	4.7
"125"	"2002"	2002	1980	"Comilla"	"2002-Comilla"	"BR10"	"2"	"Long"	"Long-BR10"	6.05
"126"	"2002"	2002	1980	"Gazipur"	"2002-Gazipur"	"BR10"	"2"	"Long"	"Long-BR10"	4.017385465
"127"	"2002"	2002	1980	"Rajshahi"	"2002-Rajshahi"	"BR10"	"2"	"Long"	"Long-BR10"	4.069
"128"	"2002"	2002	1980	"Rangpur"	"2002-Rangpur"	"BR10"	"2"	"Long"	"Long-BR10"	3.52
"129"	"2002"	2002	1980	"Satkhira"	"2002-Satkhira"	"BR10"	"2"	"Long"	"Long-BR10"	6.494651163
"130"	"2002"	2002	1980	"Sonagazi"	"2002-Sonagazi"	"BR10"	"2"	"Long"	"Long-BR10"	4.293883721
"131"	"2003"	2003	1980	"Barisal"	"2003-Barisal"	"BR10"	"2"	"Long"	"Long-BR10"	4.52244186
"132"	"2003"	2003	1980	"Comilla"	"2003-Comilla"	"BR10"	"2"	"Long"	"Long-BR10"	2.810244186
"133"	"2003"	2003	1980	"Gazipur"	"2003-Gazipur"	"BR10"	"2"	"Long"	"Long-BR10"	2.258232558
"134"	"2003"	2003	1980	"Rajshahi"	"2003-Rajshahi"	"BR10"	"2"	"Long"	"Long-BR10"	3.9195
"135"	"2003"	2003	1980	"Rangpur"	"2003-Rangpur"	"BR10"	"2"	"Long"	"Long-BR10"	3.800755814
"136"	"2003"	2003	1980	"Satkhira"	"2003-Satkhira"	"BR10"	"2"	"Long"	"Long-BR10"	7.346976744
"137"	"2003"	2003	1980	"Sonagazi"	"2003-Sonagazi"	"BR10"	"2"	"Long"	"Long-BR10"	3.15
"138"	"2004"	2004	1980	"Barisal"	"2004-Barisal"	"BR10"	"2"	"Long"	"Long-BR10"	3.811678463
"139"	"2004"	2004	1980	"Comilla"	"2004-Comilla"	"BR10"	"2"	"Long"	"Long-BR10"	2.277331395
"140"	"2004"	2004	1980	"Gazipur"	"2004-Gazipur"	"BR10"	"2"	"Long"	"Long-BR10"	4.632093023
"141"	"2004"	2004	1980	"Rajshahi"	"2004-Rajshahi"	"BR10"	"2"	"Long"	"Long-BR10"	4.023069767
"142"	"2004"	2004	1980	"Rangpur"	"2004-Rangpur"	"BR10"	"2"	"Long"	"Long-BR10"	3.6
