SL	Year	Location	Year of release	Rep	Variety	Group	Yield
219	2014	Comilla	1980	2	BR10	Long	4.94
220	2014	Gazipur	1980	2	BR10	Long	7
221	2014	Rajshahi	1980	2	BR10	Long	5.60027907
222	2014	Rangpur	1980	2	BR10	Long	5
223	2014	Satkhira	1980	2	BR10	Long	5.04
224	2014	Bhanga	1980	2	BR10	Long	4
225	2015	Kustia	1980	2	BR10	Long	5.51
226	2015	Sonagazi	1980	2	BR10	Long	4.189827907
227	2015	Comilla	1980	2	BR10	Long	5.605799598
228	2015	Gazipur	1980	2	BR10	Long	6.293218885
229	2015	Rajshahi	1980	2	BR10	Long	5.643
230	2015	Rangpur	1980	2	BR10	Long	2.5
231	2015	Satkhira	1980	2	BR10	Long	5.389922481
232	2015	Bhanga	1980	2	BR10	Long	4.6
233	2001	Barisal	1980	3	BR10	Long	4.37
234	2001	Comilla	1980	3	BR10	Long	5.219360465
235	2001	Gazipur	1980	3	BR10	Long	3.649767442
236	2001	Rajshahi	1980	3	BR10	Long	3.94
237	2001	Rangpur	1980	3	BR10	Long	3.595901163
238	2001	Satkhira	1980	3	BR10	Long	6.920116279
239	2001	Sonagazi	1980	3	BR10	Long	3.649767442
240	2002	Barisal	1980	3	BR10	Long	4.7
241	2002	Comilla	1980	3	BR10	Long	4
242	2002	Gazipur	1980	3	BR10	Long	4.264181395
243	2002	Rajshahi	1980	3	BR10	Long	4.239
244	2002	Rangpur	1980	3	BR10	Long	3.4
245	2002	Satkhira	1980	3	BR10	Long	6.616046512
246	2002	Sonagazi	1980	3	BR10	Long	3.948767442
247	2003	Barisal	1980	3	BR10	Long	2.817151163
248	2003	Comilla	1980	3	BR10	Long	1.826169767
249	2003	Gazipur	1980	3	BR10	Long	2.530534884
250	2003	Rajshahi	1980	3	BR10	Long	4.0895
251	2003	Rangpur	1980	3	BR10	Long	3.791802326
252	2003	Satkhira	1980	3	BR10	Long	7.224186047
253	2003	Sonagazi	1980	3	BR10	Long	1.55
254	2004	Barisal	1980	3	BR10	Long	3.545421512
255	2004	Comilla	1980	3	BR10	Long	3.053343023
256	2004	Gazipur	1980	3	BR10	Long	4.710930233
257	2004	Rajshahi	1980	3	BR10	Long	4.475930233
258	2004	Rangpur	1980	3	BR10	Long	2.61
259	2004	Satkhira	1980	3	BR10	Long	6.139534884
260	2004	Sonagazi	1980	3	BR10	Long	2.793868922
261	2004	Kustia	1980	3	BR10	Long	2.25615
262	2005	Barisal	1980	3	BR10	Long	6.078
263	2005	Comilla	1980	3	BR10	Long	3.931744186
264	2005	Gazipur	1980	3	BR10	Long	3.512209302
265	2005	Rajshahi	1980	3	BR10	Long	6.280930233
266	2005	Rangpur	1980	3	BR10	Long	1.686811506
267	2005	Satkhira	1980	3	BR10	Long	6.385116279
268	2005	Sonagazi	1980	3	BR10	Long	3.26
269	2005	Kustia	1980	3	BR10	Long	5.470151163
270	2006	Barisal	1980	3	BR10	Long	4.189
271	2006	Comilla	1980	3	BR10	Long	0.88
272	2006	Gazipur	1980	3	BR10	Long	5.1
273	2006	Rajshahi	1980	3	BR10	Long	5.6
274	2006	Rangpur	1980	3	BR10	Long	5.05
275	2006	Satkhira	1980	3	BR10	Long	5.8
276	2006	Sonagazi	1980	3	BR10	Long	6.32
277	2006	Kustia	1980	3	BR10	Long	6.1
278	2007	Barisal	1980	3	BR10	Long	4.607
279	2007	Comilla	1980	3	BR10	Long	3.06
280	2007	Gazipur	1980	3	BR10	Long	3.9
281	2007	Rajshahi	1980	3	BR10	Long	5.4
282	2007	Rangpur	1980	3	BR10	Long	3
283	2007	Satkhira	1980	3	BR10	Long	4
284	2007	Sonagazi	1980	3	BR10	Long	3.85
285	2007	Kustia	1980	3	BR10	Long	6.2
286	2008	Barisal	1980	3	BR10	Long	3.6785
287	2008	Comilla	1980	3	BR10	Long	1.96
288	2008	Gazipur	1980	3	BR10	Long	5.1
289	2008	Rajshahi	1980	3	BR10	Long	3.82
290	2008	Rangpur	1980	3	BR10	Long	4.35
291	2008	Satkhira	1980	3	BR10	Long	4.9
292	2008	Sonagazi	1980	3	BR10	Long	1.7
293	2008	Kustia	1980	3	BR10	Long	5.6
294	2009	Barisal	1980	3	BR10	Long	2.75
295	2009	Comilla	1980	3	BR10	Long	3.435
296	2009	Gazipur	1980	3	BR10	Long	4.5
297	2009	Rajshahi	1980	3	BR10	Long	4.61
298	2009	Rangpur	1980	3	BR10	Long	4.1
299	2009	Satkhira	1980	3	BR10	Long	4.45
300	2009	Sonagazi	1980	3	BR10	Long	1.65
301	2009	Kustia	1980	3	BR10	Long	5
302	2010	Barisal	1980	3	BR10	Long	3.17
303	2010	Comilla	1980	3	BR10	Long	4.91
304	2010	Gazipur	1980	3	BR10	Long	4.65
305	2010	Rajshahi	1980	3	BR10	Long	5.955
306	2010	Rangpur	1980	3	BR10	Long	3.1
307	2010	Satkhira	1980	3	BR10	Long	4.675
308	2010	Sonagazi	1980	3	BR10	Long	4.95
309	2010	Kustia	1980	3	BR10	Long	6
310	2011	Barisal	1980	3	BR10	Long	3.59
311	2011	Comilla	1980	3	BR10	Long	1.87
312	2011	Gazipur	1980	3	BR10	Long	4.45
313	2011	Rajshahi	1980	3	BR10	Long	7.3
314	2011	Rangpur	1980	3	BR10	Long	4.2
315	2011	Satkhira	1980	3	BR10	Long	4.5625
316	2011	Sonagazi	1980	3	BR10	Long	4.8
317	2011	Kustia	1980	3	BR10	Long	4.5
318	2012	Kustia	1980	3	BR10	Long	5.39
319	2012	Sonagazi	1980	3	BR10	Long	4.65
320	2012	Comilla	1980	3	BR10	Long	5.42
321	2012	Gazipur	1980	3	BR10	Long	4.112
322	2012	Rajshahi	1980	3	BR10	Long	5.15
323	2012	Rangpur	1980	3	BR10	Long	2.5
324	2012	Satkhira	1980	3	BR10	Long	2.94
325	2012	Barisal	1980	3	BR10	Long	3.38
326	2013	Kustia	1980	3	BR10	Long	5.1
327	2013	Sonagazi	1980	3	BR10	Long	4.97
328	2013	Comilla	1980	3	BR10	Long	6.5
329	2013	Gazipur	1980	3	BR10	Long	7
330	2013	Rajshahi	1980	3	BR10	Long	5.6
331	2013	Rangpur	1980	3	BR10	Long	3
332	2013	Barisal	1980	3	BR10	Long	5.27
333	2014	Kustia	1980	3	BR10	Long	4.84
334	2014	Sonagazi	1980	3	BR10	Long	3.42
335	2014	Comilla	1980	3	BR10	Long	7.58
336	2014	Gazipur	1980	3	BR10	Long	6.6
337	2014	Rajshahi	1980	3	BR10	Long	6.582093023
338	2014	Rangpur	1980	3	BR10	Long	4
339	2014	Satkhira	1980	3	BR10	Long	4.86
340	2014	Bhanga	1980	3	BR10	Long	4.375
341	2015	Kustia	1980	3	BR10	Long	5.89
342	2015	Sonagazi	1980	3	BR10	Long	4.016074419
343	2015	Comilla	1980	3	BR10	Long	5.371207771
344	2015	Gazipur	1980	3	BR10	Long	5.992605304
345	2015	Rajshahi	1980	3	BR10	Long	7.254906977
346	2015	Rangpur	1980	3	BR10	Long	3.1
347	2015	Satkhira	1980	3	BR10	Long	5.935658915
348	2015	Bhanga	1980	3	BR10	Long	5
2089	2001	Barisal	1980	1	BR11	Medium	3.66
2090	2001	Comilla	1980	1	BR11	Medium	4.322093023
2091	2001	Gazipur	1980	1	BR11	Medium	3.237906977
2092	2001	Rajshahi	1980	1	BR11	Medium	3.88
2093	2001	Rangpur	1980	1	BR11	Medium	4.063604651
2094	2001	Satkhira	1980	1	BR11	Medium	6.910813953
2095	2001	Sonagazi	1980	1	BR11	Medium	3.233953488
2096	2002	Barisal	1980	1	BR11	Medium	4.05
2097	2002	Comilla	1980	1	BR11	Medium	3.5
2098	2002	Gazipur	1980	1	BR11	Medium	4.868732558
2099	2002	Rajshahi	1980	1	BR11	Medium	4.179
2100	2002	Rangpur	1980	1	BR11	Medium	3.76
2101	2002	Satkhira	1980	1	BR11	Medium	6.454186047
2102	2002	Sonagazi	1980	1	BR11	Medium	3.532953488
2103	2003	Barisal	1980	1	BR11	Medium	4.527616279
2104	2003	Comilla	1980	1	BR11	Medium	2.990846512
2105	2003	Gazipur	1980	1	BR11	Medium	3.233488372
2106	2003	Rajshahi	1980	1	BR11	Medium	4.0295
