SL	Year	Location	Year of release	Rep	Variety	Group	Yield
7638	2012-2013	Rangpur	1970	2	BR1	Short	6.20
7639	2012-2013	Satkhira	1970	2	BR1	Short	7.00
7640	2012-2013	Sonagazi	1970	2	BR1	Short	3.70
7641	2012-2013	Kustia	1970	2	BR1	Short	6.45
7642	2012-2013	Rajshahi	1970	2	BR1	Short	5.26
7643	2013-2014	Barisal	1970	2	BR1	Short	4.55
7644	2013-2014	Bhanga	1970	2	BR1	Short	5.70
7645	2013-2014	Comilla	1970	2	BR1	Short	5.25
7646	2013-2014	Gazipur	1970	2	BR1	Short	6.80
7647	2013-2014	Habiganj	1970	2	BR1	Short	5.80
7648	2013-2014	Rangpur	1970	2	BR1	Short	5.60
7649	2013-2014	Satkhira	1970	2	BR1	Short	6.31
7650	2013-2014	Sonagazi	1970	2	BR1	Short	5.25
7651	2013-2014	Kustia	1970	2	BR1	Short	6.33
7652	2013-2014	Rajshahi	1970	2	BR1	Short	5.24
7653	2014-2015	Barisal	1970	2	BR1	Short	4.26
7654	2014-2015	Bhanga	1970	2	BR1	Short	7.67
7655	2014-2015	Comilla	1970	2	BR1	Short	4.92
7656	2014-2015	Gazipur	1970	2	BR1	Short	6.10
7657	2014-2015	Habiganj	1970	2	BR1	Short	5.87
7658	2014-2015	Rangpur	1970	2	BR1	Short	3.05
7659	2014-2015	Satkhira	1970	2	BR1	Short	6.04
7660	2014-2015	Sonagazi	1970	2	BR1	Short	5.37
7661	2014-2015	Kustia	1970	2	BR1	Short	6.21
7662	2014-2015	Rajshahi	1970	2	BR1	Short	5.21
7663	2015-2016	Barisal	1970	2	BR1	Short	4.29
7664	2015-2016	Bhanga	1970	2	BR1	Short	7.34
7665	2015-2016	Comilla	1970	2	BR1	Short	5.36
7666	2015-2016	Gazipur	1970	2	BR1	Short	6.06
7667	2015-2016	Habiganj	1970	2	BR1	Short	6.30
7668	2015-2016	Rangpur	1970	2	BR1	Short	4.88
7669	2015-2016	Satkhira	1970	2	BR1	Short	6.41
7670	2015-2016	Sonagazi	1970	2	BR1	Short	5.55
7671	2015-2016	Kustia	1970	2	BR1	Short	6.69
7672	2015-2016	Rajshahi	1970	2	BR1	Short	5.98
7673	2001-2002	Barisal	1970	3	BR1	Short	6.83
7674	2001-2002	Bhanga	1970	3	BR1	Short	6.00
7675	2001-2002	Comilla	1970	3	BR1	Short	5.96
7676	2001-2002	Habiganj	1970	3	BR1	Short	5.27
7677	2001-2002	Rajshahi	1970	3	BR1	Short	5.50
7678	2001-2002	Rangpur	1970	3	BR1	Short	4.82
7679	2001-2002	Satkhira	1970	3	BR1	Short	5.32
7680	2002-2003	Barisal	1970	3	BR1	Short	5.24
7681	2002-2003	Bhanga	1970	3	BR1	Short	4.24
7682	2002-2003	Comilla	1970	3	BR1	Short	4.58
7683	2002-2003	Gazipur	1970	3	BR1	Short	4.24
7684	2002-2003	Habiganj	1970	3	BR1	Short	5.55
7685	2002-2003	Rajshahi	1970	3	BR1	Short	2.40
7686	2002-2003	Rangpur	1970	3	BR1	Short	3.14
7687	2002-2003	Satkhira	1970	3	BR1	Short	4.35
7688	2003-2004	Barisal	1970	3	BR1	Short	5.13
7689	2003-2004	Bhanga	1970	3	BR1	Short	5.17
7690	2003-2004	Comilla	1970	3	BR1	Short	4.53
7691	2003-2004	Gazipur	1970	3	BR1	Short	2.15
7692	2003-2004	Habiganj	1970	3	BR1	Short	4.10
7693	2003-2004	Rajshahi	1970	3	BR1	Short	2.35
7694	2003-2004	Rangpur	1970	3	BR1	Short	4.25
7695	2003-2004	Satkhira	1970	3	BR1	Short	5.47
7696	2004-2005	Barisal	1970	3	BR1	Short	5.27
7697	2004-2005	Bhanga	1970	3	BR1	Short	7.27
7698	2004-2005	Comilla	1970	3	BR1	Short	5.72
7699	2004-2005	Gazipur	1970	3	BR1	Short	3.94
7700	2004-2005	Habiganj	1970	3	BR1	Short	4.52
7701	2004-2005	Rajshahi	1970	3	BR1	Short	5.16
7702	2004-2005	Rangpur	1970	3	BR1	Short	5.08
7703	2004-2005	Satkhira	1970	3	BR1	Short	5.54
7704	2004-2005	Kustia	1970	3	BR1	Short	5.81
7705	2005-2006	Barisal	1970	3	BR1	Short	5.73
7706	2005-2006	Bhanga	1970	3	BR1	Short	5.06
7707	2005-2006	Comilla	1970	3	BR1	Short	6.19
7708	2005-2006	Gazipur	1970	3	BR1	Short	5.92
7709	2005-2006	Habiganj	1970	3	BR1	Short	6.50
7710	2005-2006	Rajshahi	1970	3	BR1	Short	3.42
7711	2005-2006	Rangpur	1970	3	BR1	Short	2.41
7712	2005-2006	Satkhira	1970	3	BR1	Short	5.53
7713	2005-2006	Kustia	1970	3	BR1	Short	7.03
7714	2006-2007	Barisal	1970	3	BR1	Short	6.01
7715	2006-2007	Bhanga	1970	3	BR1	Short	6.28
7716	2006-2007	Comilla	1970	3	BR1	Short	6.48
7717	2006-2007	Gazipur	1970	3	BR1	Short	5.01
7718	2006-2007	Habiganj	1970	3	BR1	Short	4.62
7719	2006-2007	Rajshahi	1970	3	BR1	Short	5.30
7720	2006-2007	Kustia	1970	3	BR1	Short	8.24
7721	2006-2007	Rangpur	1970	3	BR1	Short	5.21
7722	2006-2007	Satkhira	1970	3	BR1	Short	5.38
7723	2007-2008	Barisal	1970	3	BR1	Short	5.87
7724	2007-2008	Bhanga	1970	3	BR1	Short	5.63
7725	2007-2008	Comilla	1970	3	BR1	Short	6.38
7726	2007-2008	Gazipur	1970	3	BR1	Short	4.90
7727	2007-2008	Habiganj	1970	3	BR1	Short	4.62
7728	2007-2008	Rangpur	1970	3	BR1	Short	2.30
