"Y"	"t.k"	"r.i"	"L"	"Env"	"G"	"Group"	"mean.yield"
"2012"	2012	1970	"Rangpur"	"2012-2013-Rangpur"	"BR1"	"Short"	6.25
"2012"	2012	1970	"Satkhira"	"2012-2013-Satkhira"	"BR1"	"Short"	6.8
"2012"	2012	1970	"Sonagazi"	"2012-2013-Sonagazi"	"BR1"	"Short"	4.01333333333333
"2012"	2012	1970	"Kustia"	"2012-2013-Kustia"	"BR1"	"Short"	6.35666666666667
"2012"	2012	1970	"Rajshahi"	"2012-2013-Rajshahi"	"BR1"	"Short"	4.90666666666667
"2013"	2013	1970	"Barisal"	"2013-2014-Barisal"	"BR1"	"Short"	4.64666666666667
"2013"	2013	1970	"Bhanga"	"2013-2014-Bhanga"	"BR1"	"Short"	5.76666666666667
"2013"	2013	1970	"Comilla"	"2013-2014-Comilla"	"BR1"	"Short"	5.18
"2013"	2013	1970	"Gazipur"	"2013-2014-Gazipur"	"BR1"	"Short"	6.70666666666667
"2013"	2013	1970	"Habiganj"	"2013-2014-Habiganj"	"BR1"	"Short"	5.79666666666667
"2013"	2013	1970	"Rangpur"	"2013-2014-Rangpur"	"BR1"	"Short"	5.66666666666667
"2013"	2013	1970	"Satkhira"	"2013-2014-Satkhira"	"BR1"	"Short"	6.02666666666667
"2013"	2013	1970	"Sonagazi"	"2013-2014-Sonagazi"	"BR1"	"Short"	5.20333333333333
"2013"	2013	1970	"Kustia"	"2013-2014-Kustia"	"BR1"	"Short"	5.98666666666667
"2013"	2013	1970	"Rajshahi"	"2013-2014-Rajshahi"	"BR1"	"Short"	5.07
"2014"	2014	1970	"Barisal"	"2014-2015-Barisal"	"BR1"	"Short"	4.11666666666667
"2014"	2014	1970	"Bhanga"	"2014-2015-Bhanga"	"BR1"	"Short"	7.47333333333333
"2014"	2014	1970	"Comilla"	"2014-2015-Comilla"	"BR1"	"Short"	4.75
"2014"	2014	1970	"Gazipur"	"2014-2015-Gazipur"	"BR1"	"Short"	6.4
"2014"	2014	1970	"Habiganj"	"2014-2015-Habiganj"	"BR1"	"Short"	5.80333333333333
"2014"	2014	1970	"Rangpur"	"2014-2015-Rangpur"	"BR1"	"Short"	2.88333333333333
"2014"	2014	1970	"Satkhira"	"2014-2015-Satkhira"	"BR1"	"Short"	5.88
"2014"	2014	1970	"Sonagazi"	"2014-2015-Sonagazi"	"BR1"	"Short"	5.19
